company_clean,connection_count,recruiter_count,talent_count,hiring_manager_count,data_leader_count,data_peer_count,avg_priority_score,top_persona,top_area,strategic_potential,suggested_market,suggested_confidence,suggested_reason,manual_market,manual_category,manual_notes
Circet USA,1,1,0,0,0,0,71.0,Recruiter,Recruiting,38.6,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
ManpowerGroup Argentina,1,0,0,0,1,0,73.0,Director,Management,38.6,LATAM_USD,HIGH,company name contains geographic keyword: 'argentina',,,
NerdBench Technical Recruiting,1,1,0,0,0,0,71.0,Recruiter,Recruiting,38.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'bench',,,
Prowork Group Colombia,1,0,1,0,0,0,70.0,Talent Acquisition,Recruiting,37.6,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
Zukk - Geoespacial,1,1,0,0,0,0,69.0,Recruiter,Recruiting,37.6,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Randstad España,3,1,1,0,0,0,62.0,Consultant,Recruiting,36.8,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
Logicalis Portugal,1,0,1,0,0,0,68.0,Talent Acquisition,Recruiting,36.6,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Rajapack España,1,0,1,0,0,0,68.0,Talent Acquisition,Recruiting,36.6,SPAIN_EU,HIGH,company name contains geographic keyword: 'españa',,,
ABANCA Portugal,1,0,0,0,1,0,68.0,Director,Management,36.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
RecLatam,1,1,0,0,0,0,65.0,Recruiter,Recruiting,35.6,LATAM_USD,HIGH,company name contains geographic keyword: 'latam',,,
Claranet Portugal,1,0,1,0,0,0,65.0,Talent Acquisition,Recruiting,35.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
LUK HR,1,0,0,0,1,0,66.0,Executive,Management,35.1,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Gravitas Recruitment Group (UK) Ltd,1,0,0,0,1,0,64.0,Director,Management,34.1,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Aubay Portugal,4,1,0,0,1,0,55.8,Executive,Management,33.3,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
BA Global Talent,2,0,2,0,0,0,53.5,Talent Acquisition,Recruiting,32.0,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'global talent',,,
Grupo Boticário,48,1,1,2,1,12,23.0,Other,Other,31.8,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Intuition IT – Intuitive Technology Recruitment,1,0,1,0,0,0,58.0,Talent Acquisition,Recruiting,31.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'technology recruitment',,,
TI Hunting,1,1,0,0,0,0,57.0,Recruiter,Recruiting,31.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'hunting',,,
Zukk,2,0,0,1,0,0,54.0,Hiring Manager,Management,31.2,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Gulf Oil NorLATAM,1,0,0,0,0,0,62.0,HR,Management,31.1,LATAM_USD,HIGH,company name contains geographic keyword: 'latam',,,
SDG Group Mexico,1,1,0,0,0,0,56.0,Recruiter,Recruiting,31.1,LATAM_USD,HIGH,company name contains geographic keyword: 'mexico',,,
Busko Group Headhunting & Outplacement,1,0,1,0,0,0,56.0,Talent Acquisition,Recruiting,30.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'placement',,,
"Direct IT Recruiting Inc., WBE Canada Certified",1,0,0,0,0,0,61.0,Operations,Management,30.6,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'canada',,,
IT Recruitment Solutions (ITRS.ua) ®,1,1,0,0,0,0,54.0,Recruiter,Recruiting,30.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'it recruitment',,,
Rittal Chile,1,0,0,0,0,0,60.0,HR,Management,30.1,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Randstad Portugal,2,1,0,0,0,0,53.5,Consultant,Consulting,30.0,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
Senai São Paulo,2,0,1,0,1,0,50.5,Director,Management,30.0,BRAZIL,HIGH,company name contains geographic keyword: 'são paulo',,,
Cirion Technologies,1,0,0,0,1,0,55.0,Director,Management,29.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Lureye Chile,1,0,0,0,0,0,59.0,HR,HR,29.6,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
SVN Investimentos - Escritório Credenciado à XP Investimentos,1,1,0,0,0,0,53.0,Recruiter,Recruiting,29.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
ScaleAQ Chile,1,0,0,0,0,0,59.0,HR,HR,29.6,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
Manpower UK,2,0,1,0,0,0,53.5,Operations,Management,29.4,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Dadosfera (anteriormente DataSprints),1,0,0,0,1,0,54.0,Executive,Management,29.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
IT Jobs in Europe by Prometeo Talent,1,0,0,0,1,0,54.0,Executive,Management,29.1,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
"DatamanUSA, LLC",1,0,0,0,0,0,57.0,Other,Other,28.6,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
QUANTEAM - Portugal (RAINBOW PARTNERS Group),1,0,0,0,0,1,56.0,Data Engineer,Data Engineering,28.1,EUROPE,HIGH,company name contains geographic keyword: 'portugal',,,
PT. Adisena Mitra Usaha (Beyondtech),1,0,0,0,0,0,55.0,Other,Other,27.6,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'usa',,,
Arionkoder,1,1,0,0,0,0,47.0,Recruiter,Recruiting,26.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
Assured Europe,1,0,1,0,0,0,48.0,Talent Acquisition,Recruiting,26.6,EUROPE,HIGH,company name contains geographic keyword: 'europe',,,
Centro Universitario UTEG,1,0,1,0,0,0,48.0,Talent Acquisition,Recruiting,26.6,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
The Contractor Consultants,1,1,0,0,0,0,47.0,Recruiter,Recruiting,26.6,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'contractor',,,
Yazaki Mexico & Central America,1,0,1,0,0,0,48.0,Talent Acquisition,Recruiting,26.6,LATAM_USD,HIGH,company name contains geographic keyword: 'mexico',,,
Maruti Suzuki India Limited,1,0,0,0,0,1,52.0,Data Engineer,Data Engineering,26.1,EUROPE,HIGH,company name contains geographic keyword: 'uk',,,
Teleperformance Colombia,1,0,0,0,0,0,52.0,HR,HR,26.1,LATAM_USD,HIGH,company name contains geographic keyword: 'colombia',,,
Walmart Chile,7,0,0,0,1,0,45.6,Other,Other,25.5,LATAM_USD,HIGH,company name contains geographic keyword: 'chile',,,
First Hunting RRHH,1,1,0,0,0,0,44.0,Recruiter,HR,25.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'hunting',,,
Grenzgänger. | Headhunting,1,1,0,0,0,0,44.0,Recruiter,Recruiting,25.1,GLOBAL_STAFFING,HIGH,company name contains staffing keyword: 'headhunting',,,
RedCLARA - Cooperación Latino Americana de Redes Avanzadas,1,0,0,0,0,0,50.0,Other,Management,25.1,LATAM_USD,HIGH,company name contains geographic keyword: 'latin',,,
Seguros Monterrey New York Life,1,0,0,0,0,0,50.0,Other,Other,25.1,US_CANADA_NEARSHORE,HIGH,company name contains geographic keyword: 'new york',,,
TriOptus,1,1,0,0,0,0,44.0,Recruiter,Recruiting,25.1,BRAZIL,HIGH,company name contains geographic keyword: 'rio',,,
